mode_main,distance,density,age,male,education,income,cars,license,bicycles,weekend,green,temp,precip,wind,group
0,1.0,1.26259,84,0,0.0,0.0,0,1,1,1,26.8812330009,0.1,0.1,3.0,1
0,10.0,1.26259,84,0,0.0,0.0,0,1,1,1,26.8812330009,0.1,0.1,3.0,1
1,3.0,1.76264,27,1,0.5,0.5,1,1,2,1,36.0459550024,-3.4,0.05,1.8,0
1,3.0,1.76264,27,1,0.5,0.5,1,1,2,1,36.0459550024,-3.4,0.05,1.8,0
1,61.5,1.76264,27,1,0.5,0.5,1,1,2,1,36.0459550024,-3.4,0.05,1.8,0
1,61.5,0.88025,27,1,0.5,0.5,1,1,2,1,36.0459550024,-3.4,0.05,1.8,0
0,0.5,1.83997,47,1,0.0,0.0,0,1,3,1,36.6989768444,-2.2,0.05,2.5,0
0,0.5,2.15367,47,1,0.0,0.0,0,1,3,1,36.6989768444,-2.2,0.05,2.5,0
0,0.4,1.18075,31,1,0.5,0.5,1,1,2,1,82.7583654131,-1.0,0.0,2.5,0
1,5.0,2.17375,65,0,0.0,0.0,1,1,2,1,33.2906119833,0.2,2.2,1.8,1
1,5.0,1.25468,65,0,0.0,0.0,1,1,2,1,33.2906119833,0.2,2.2,1.8,1
1,5.0,3.09575,65,0,0.0,0.0,1,1,2,1,33.2906119833,0.2,2.2,1.8,1
1,20.0,0.70105,47,1,1.0,1.0,2,1,7,1,85.8678993425,-0.8,0.05,2.7,0
1,20.0,1.50813,47,1,1.0,1.0,2,1,7,1,85.8678993425,-0.8,0.05,2.7,0
0,1.0,2.61713,24,0,0.5,0.5,1,1,3,1,22.1635883905,-1.0,0.0,2.5,1
0,0.5,2.61713,24,0,0.5,0.5,1,1,3,1,22.1635883905,-1.0,0.0,2.5,1
0,0.5,5.26579,24,0,0.5,0.5,1,1,3,1,22.1635883905,-1.0,0.0,2.5,1
0,0.5,5.26579,24,0,0.5,0.5,1,1,3,1,22.1635883905,-1.0,0.0,2.5,1
3,25.2,2.79098,29,0,1.0,1.0,0,0,3,1,38.2857142857,-0.5,0.0,2.8,1
